% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.84    0.571213      571213         1           futex
  0.07    0.000377         377         1           execve
  0.03    0.000183          91         2           munmap
  0.02    0.000140          12        11           mmap
  0.01    0.000049           9         5           mprotect
  0.01    0.000049          24         2           clone3
  0.00    0.000023           4         5           rt_sigprocmask
  0.00    0.000017           8         2           openat
  0.00    0.000015           5         3           brk
  0.00    0.000009           4         2           fstat
  0.00    0.000008           4         2           close
  0.00    0.000008           4         2           pread64
  0.00    0.000006           6         1         1 access
  0.00    0.000005           5         1           read
  0.00    0.000005           5         1           getrandom
  0.00    0.000004           4         1           rt_sigaction
  0.00    0.000004           4         1           prlimit64
  0.00    0.000004           4         1           rseq
  0.00    0.000003           3         1           arch_prctl
  0.00    0.000003           3         1           set_tid_address
  0.00    0.000003           3         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.572128       12172        47         1 total
