% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 56.25    0.000549         549         1           execve
 19.47    0.000190          21         9           mmap
  6.35    0.000062          31         2           pread64
  3.69    0.000036          12         3           mprotect
  3.48    0.000034          17         2           openat
  2.56    0.000025           8         3           brk
  1.74    0.000017           8         2           munmap
  1.64    0.000016           8         2           fstat
  0.92    0.000009           9         1         1 access
  0.82    0.000008           4         2           close
  0.61    0.000006           6         1           getrandom
  0.51    0.000005           5         1           read
  0.41    0.000004           4         1           arch_prctl
  0.41    0.000004           4         1           set_tid_address
  0.41    0.000004           4         1           prlimit64
  0.41    0.000004           4         1           rseq
  0.31    0.000003           3         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.000976          28        34         1 total
