% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 62.19    0.000421         421         1           execve
 18.02    0.000122          13         9           mmap
  4.28    0.000029           9         3           mprotect
  2.95    0.000020          10         2           openat
  2.22    0.000015           5         3           brk
  2.07    0.000014           7         2           munmap
  1.33    0.000009           4         2           fstat
  1.18    0.000008           4         2           close
  1.18    0.000008           4         2           pread64
  1.03    0.000007           7         1         1 access
  0.74    0.000005           5         1           read
  0.59    0.000004           4         1           getrandom
  0.44    0.000003           3         1           arch_prctl
  0.44    0.000003           3         1           set_tid_address
  0.44    0.000003           3         1           set_robust_list
  0.44    0.000003           3         1           prlimit64
  0.44    0.000003           3         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.000677          19        34         1 total
