% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 50.31    5.621207         609      9216 write
 48.86    5.459654         588      9270 read
  0.35    0.039188         359       109 open
  0.24    0.027351         253       108 close
  0.21    0.023797         220       108 posix_memalign
  0.01    0.001581         790         2 remove
  0.00    0.000331         165         2 lseek
  0.00    0.000189          94         2 __snprintf_chk
  0.00    0.000117         117         1 __isoc23_strtol
------ ----------- ----------- --------- --------------------
100.00   11.173415                 18818 total
