% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 60.31    0.395509          42      9216           write
 38.30    0.251180          27      9271           read
  0.96    0.006326          56       111           openat
  0.19    0.001228          11       110           close
  0.09    0.000582         582         1           execve
  0.04    0.000288         144         2           unlink
  0.04    0.000273          45         6           brk
  0.03    0.000222          27         8           mmap
  0.01    0.000050          50         1           set_tid_address
  0.01    0.000035          11         3           mprotect
  0.00    0.000025          12         2           pread64
  0.00    0.000022          11         2           fstat
  0.00    0.000017          17         1           set_robust_list
  0.00    0.000017          17         1           rseq
  0.00    0.000016          16         1         1 access
  0.00    0.000009           9         1           arch_prctl
  0.00    0.000009           9         1           getrandom
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.655808          34     18742         1 total
