% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 61.03    0.355849          38      9216           write
 37.28    0.217373          23      9271           read
  1.25    0.007302          65       111           openat
  0.18    0.001066           9       110           close
  0.09    0.000499         499         1           execve
  0.06    0.000374         187         2           unlink
  0.04    0.000245          40         6           brk
  0.03    0.000162          20         8           mmap
  0.01    0.000050          16         3           mprotect
  0.00    0.000018           9         2           fstat
  0.00    0.000015           7         2           lseek
  0.00    0.000014          14         1           munmap
  0.00    0.000014           7         2           pread64
  0.00    0.000012          12         1         1 access
  0.00    0.000008           8         1           arch_prctl
  0.00    0.000006           6         1           set_robust_list
  0.00    0.000006           6         1           prlimit64
  0.00    0.000006           6         1           getrandom
  0.00    0.000006           6         1           rseq
  0.00    0.000005           5         1           set_tid_address
------ ----------- ----------- --------- --------- ----------------
100.00    0.583030          31     18742         1 total
