% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 50.17    5.377728        2048      2625 write
 48.95    5.246722        1985      2642 read
  0.35    0.038046        1268        30 close
  0.33    0.035586        1046        34 open
  0.19    0.020003         606        33 posix_memalign
  0.00    0.000474         237         2 lseek
  0.00    0.000339         169         2 snprintf
  0.00    0.000248         248         1 atoi
------ ----------- ----------- --------- --------------------
100.00   10.719146                  5369 total
